학교명,학교급구분,설립일자,설립형태,본교분교구분,소재지도로명주소,시도교육청명,교육지원청명,위도,경도
신라중학교,중학교,1954-05-17,공립,본교,경상북도 경주시 알천북로 143,경상북도교육청,경상북도경주교육지원청,35.85465841,129.2164259
봉계초등학교,초등학교,1919-11-25,공립,본교,경상북도 김천시 봉산면 봉계길 74-15,경상북도교육청,경상북도김천교육지원청,36.14441476,128.0640107
남정중학교,중학교,1965-12-24,공립,본교,경상북도 영덕군 남정면 진불길 11-27,경상북도교육청,경상북도영덕교육지원청,36.28382203,129.3702125
조성남초등학교,초등학교,1946-04-15,공립,본교,전라남도 보성군 조성면 산정길 2,전라남도교육청,전라남도보성교육지원청,34.7899804,127.215023
일광중학교,중학교,2021-03-01,공립,본교,부산광역시 기장군 일광면 해빛3로 99,부산광역시교육청,부산광역시해운대교육지원청,35.26522711,129.2204614
대암초등학교,초등학교,2001-05-01,공립,본교,경상남도 창원시 성산구 창이대로899번길 23,경상남도교육청,경상남도창원교육지원청,35.20586609,128.7094383
이원중학교,중학교,1946-07-01,공립,본교,충청북도 옥천군 이원면 건진3길 16,충청북도교육청,충청북도옥천교육지원청,36.24840699,127.613697
월촌초등학교,초등학교,1924-05-18,공립,본교,전라북도 김제시 입석7길 119,전라북도교육청,전라북도김제교육지원청,35.7891504,126.8681157
목포정명여자고등학교,고등학교,1903-09-15,사립,본교,전라남도 목포시 삼일로 45,전라남도교육청,전라남도목포교육지원청,34.79640482,126.3831138
서울본동초등학교,초등학교,1948-10-30,공립,본교,서울특별시 동작구 노량진로26길 16-40,서울특별시교육청,서울특별시동작관악교육지원청,37.50992508,126.9538508
정재초등학교,초등학교,1971-03-01,공립,본교,경기도 안산시 상록구 정재초교길 11,경기도교육청,경기도안산교육지원청,37.33848608,126.8648857
한양대학교사범대학부속중학교,중학교,1960-01-18,사립,본교,서울특별시 성동구 마조로 42,서울특별시교육청,서울특별시성동광진교육지원청,37.56191884,127.042324
황등남초등학교,초등학교,1971-04-01,공립,본교,전라북도 익산시 황등면 황등서로 44,전라북도교육청,전라북도익산교육지원청,36.0033501,126.9387491
삼일초등학교,초등학교,1994-03-01,공립,본교,울산광역시 중구 동천5길 18-9,울산광역시교육청,울산광역시강북교육지원청,35.58217637,129.345525
서울상수초등학교,초등학교,1988-10-08,공립,본교,서울특별시 노원구 동일로216길 66,서울특별시교육청,서울특별시북부교육지원청,37.65110502,127.0647586
영덕초등학교,초등학교,1997-12-01,공립,본교,경기도 수원시 영통구 영통로 438,경기도교육청,경기도수원교육지원청,37.25905057,127.0739487
순천팔마고등학교,고등학교,2007-04-03,공립,본교,전라남도 순천시 삼산로 140,전라남도교육청,전라남도순천교육지원청,34.9747943,127.4979343
상평초등학교오색분교장,초등학교,1961-04-01,공립,분교,강원도 양양군 서면 설악로 1173,강원도교육청,강원도속초양양교육지원청,38.07434202,128.4792502
